estimator,min_score,mean_score,max_score,std_score,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
RandomForestRegressor,0.8767459113791002,0.9012392935914204,0.9147607160342195,0.014564088239808558,400,5,1,sqrt,10,False
RandomForestRegressor,0.7582439926120719,0.7987742411001567,0.8291901661858385,0.026351214834755353,600,10,4,auto,10,True
RandomForestRegressor,0.7458433695516412,0.7846854559619829,0.8152758661294293,0.027131507336756008,700,2,2,auto,10,True
RandomForestRegressor,0.7258420214461314,0.7494860259371272,0.7750817225030386,0.01748797062974098,400,5,8,sqrt,100,True
RandomForestRegressor,0.6737473805295021,0.6857334295029429,0.7005875448655706,0.009675351079459089,600,2,1,auto,80,False
RandomForestRegressor,0.6571282688820843,0.676000083623852,0.6989975344714402,0.015448777678067103,600,5,4,sqrt,80,True
RandomForestRegressor,0.6526415854857256,0.674271770687854,0.6993902194060234,0.016883375984967097,400,5,4,sqrt,70,True
RandomForestRegressor,0.653380904565421,0.6736464866940135,0.6988896750215537,0.016577764170211836,700,5,4,sqrt,90,True
RandomForestRegressor,0.6527487014336799,0.6728972131884257,0.6953202884263774,0.015202023736033915,400,2,4,sqrt,60,True
RandomForestRegressor,0.6309643953161166,0.6690009176355484,0.6971784415053408,0.02856011524421859,700,5,4,auto,110,False
RandomForestRegressor,0.6309348849920446,0.6689151543791233,0.6970517595923558,0.028473392334545038,600,5,4,auto,,False
RandomForestRegressor,0.6332058140538291,0.6555310384639703,0.673830064512374,0.015326788193699318,700,5,2,auto,60,False
RandomForestRegressor,0.6084377963352647,0.6374797401374654,0.6595326286768438,0.02003884474588031,700,10,2,auto,110,False
RandomForestRegressor,0.6169098396439235,0.6360521732241434,0.6536836639990403,0.014190536711762777,600,10,4,sqrt,70,False
RandomForestRegressor,0.6203337923305197,0.6353450017805082,0.6550362337692056,0.01348497993939175,700,5,4,sqrt,80,False
RandomForestRegressor,0.6166426090981328,0.6341234863666257,0.6527423772573723,0.013341474292831742,400,5,4,sqrt,100,False
RandomForestRegressor,0.6007346498408812,0.6079998289158295,0.6125461703495096,0.004641103728099054,600,2,8,auto,,True
RandomForestRegressor,0.599910594301966,0.6078324111955264,0.6134999392717742,0.005182540535361846,400,5,8,auto,50,True
RandomForestRegressor,0.6004019446957511,0.6076144817368739,0.6120637345743901,0.004566121412072242,600,2,8,auto,60,True
RandomForestRegressor,0.6015256211599707,0.606932174402908,0.610618747368657,0.003627147025557554,600,5,8,auto,90,True
RandomForestRegressor,0.6010023758747458,0.6069080383030203,0.6125779358187637,0.00438077286654912,400,10,8,auto,110,True
RandomForestRegressor,0.6002130598965988,0.6068631997231779,0.6119664704830404,0.004438469807259876,600,2,8,auto,70,True
RandomForestRegressor,0.57376070998898,0.5913834987375565,0.6092866383836248,0.01475521802099231,400,5,2,sqrt,90,True
RandomForestRegressor,0.5515814119366613,0.5685865153082721,0.5896419371122563,0.015141736571181258,600,10,2,sqrt,60,False
RandomForestRegressor,0.5444155937502696,0.557919642279064,0.5755967770503047,0.013347784612820093,700,5,2,sqrt,100,False
RandomForestRegressor,0.544353826195046,0.5578436883884015,0.5774870045086644,0.013644551942324178,600,5,2,sqrt,100,False
RandomForestRegressor,0.5429200413688641,0.5568605434842909,0.5766617373757321,0.013599208648775351,600,2,2,sqrt,60,False
RandomForestRegressor,0.5437241866577313,0.5563638828487919,0.5747222377739978,0.012965013208711205,600,2,2,sqrt,70,False
RandomForestRegressor,0.5430704683374371,0.5557949557483874,0.5748471836036424,0.013183332634866264,400,2,2,sqrt,70,False
RandomForestRegressor,0.5400580556213158,0.5541794832105827,0.5713370992830424,0.011225063147935144,700,5,4,auto,50,True
RandomForestRegressor,0.5377459506237044,0.5535508728722834,0.5732630097002499,0.012716041172719515,600,5,4,auto,50,True
RandomForestRegressor,0.5305937176815907,0.5502091160121265,0.5632009509700804,0.012736595851301546,600,2,1,sqrt,100,False
RandomForestRegressor,0.5089599792389459,0.5311131968221214,0.5473734833529798,0.016222695288652993,600,10,1,sqrt,100,True
RandomForestRegressor,0.5107149196041559,0.530608132959226,0.5463381302276089,0.015247653526178951,400,10,1,sqrt,,True
RandomForestRegressor,0.5105489771138013,0.5253731465337261,0.5430459750684915,0.011906253324069737,700,2,2,auto,90,True
RandomForestRegressor,0.5114765249732786,0.524888313982409,0.542383984788445,0.011178092752170523,400,2,2,auto,80,True
RandomForestRegressor,0.509013238549631,0.5242269210872096,0.5326433572209367,0.009073137387313726,700,5,1,sqrt,110,False
RandomForestRegressor,0.4953963603462732,0.5205864272138772,0.5435204634469127,0.01874680769416186,600,5,1,sqrt,40,True
RandomForestRegressor,0.49932547388346477,0.5163415388900109,0.5356395377797759,0.012968726878953426,700,5,1,auto,70,True
RandomForestRegressor,0.4964670194563705,0.5148525020455016,0.5345572860985736,0.013609704647088277,700,10,1,auto,110,True
